"Company.x","Address","Cost_Normal","Company.y","Cost_Premium","lon","lat","geoAddress"
"Speedway #2517","1779 Centre St West Roxbury MA 02132",3.39,"Speedway #2517",4.19,-71.1516517,42.2878662,"1779 centre st, west roxbury, ma 02132, usa"
"Shell","510 Vfw Pkwy West Roxbury MA 02132",3.49,"Shell",4.19,-71.1548107,42.2952904,"510 vfw pkwy, chestnut hill, ma 02467, usa"
"Mobil","4959 Washington St West Roxbury MA 02132",3.79,"Mobil",4.99,-71.1500281,42.2682285,"4959 washington st, west roxbury, ma 02132, usa"
"Parkway Gas And Service","705 Vfw Pkwy West Roxbury MA 02132",3.59,"Parkway Gas And Service",4.49,-71.1625619,42.293769,"705 vfw pkwy, west roxbury, ma 02132, usa"
"Ellas Gas","167 Spring St West Roxbury MA 02132",3.47,"Ellas Gas",4.25,-71.1674332,42.2758589,"167 spring st, west roxbury, ma 02132, usa"
"Nicks Parkway Auto Service","1200 Vfw Pkwy West Roxbury MA 02132",3.68,NA,NA,-71.1705662,42.2804256,"1200 vfw pkwy, boston, ma 02132, usa"
"One Energy","1465 Vfw Pkwy West Roxbury MA 02132",3.35,"One Energy",4.22,-71.1722795,42.2692993,"1465 vfw pkwy, west roxbury, ma 02132, usa"
"Ellas Gas Of Dedham","22 Bridge St Dedham MA 02026",3.55,NA,NA,-71.1739429,42.2700555,"22 bridge st, dedham, ma 02026, usa"
"Prestige Gas","5175 Washington St West Roxbury MA 02132",3.33,NA,NA,-71.1570361,42.2619685,"5175 washington st, west roxbury, ma 02132, usa"
"Speedway #2490","5315 Washington St West Roxbury MA 02132",3.32,"Speedway #2490",4.15,-71.1612599,42.2583336,"5315 washington st, boston, ma 02132, usa"
"Stop & Shop #0416","160 Providence Hwy Dedham MA 02026",3.35,"Stop & Shop #0416",4.15,-71.1680598,42.2585023,"160 providence hwy, dedham, ma 02026, usa"
"Speedway #2458","373 Bridge St Dedham MA 02026",3.32,"Speedway #2458",4.15,-71.1787583,42.2589599,"373 bridge st, dedham, ma 02026, usa"
"Shell","19 Ames St Dedham MA 02026",3.39,NA,NA,-71.1788163,42.2580117,"19 ames st, dedham, ma 02026, usa"
"Super Petroleum","405 Providence Hwy Dedham MA 02026",3.35,"Super Petroleum",4.19,-71.1718707,42.2498241,"405 providence hwy, dedham, ma 02026, usa"
